"","year","TotalDeaths","TotalAffected","TotalDamage"
"1",1914,1492,20,20000
"2",1915,33246,3000268,121000
"3",1916,1660,8000,2500
"4",1917,2525839,650000,50000
"5",1918,461862,2000040,129000
"6",1919,5500,0,25000
"7",1920,3204276,20000650,20000
"8",1921,1201665,5001500,0
"9",1922,101504,11000,108000
"10",1923,260111,18230033,610000
"11",1924,303033,1011250,0
"12",1925,5846,0,45000
"13",1926,427852,40000,104000
"14",1927,215262,40060,102230
"15",1928,3005434,8209,75000
"16",1929,8449,1217,55000
"17",1930,10990,22227,40000
"18",1931,3706744,36882,1447500
"19",1932,5073313,5575,30000
"20",1933,34649,3600300,66500
"21",1934,22803,1194,50000
"22",1935,273006,10030527,8000
"23",1936,5674,150070,21000
"24",1937,12917,7500,438000
"25",1938,2668,5710,306000
"26",1939,563839,62578,940000
"27",1940,23380,17079,43000
"28",1941,10532,0,0
"29",1942,1610839,1116,28000
"30",1943,1910744,54133,1e+06
"31",1944,17394,183100,1e+05
"32",1945,10478,1883776,480000
"33",1946,36282,3354,25500
"34",1947,19060,223,130000
"35",1948,121629,420457,1049000
"36",1949,122420,299574,159200
"37",1950,7486,10887930,201000
"38",1951,15161,572384,1528250
"39",1952,9325,1002086,152900
"40",1953,13565,3249376,984310
"41",1954,45403,432793,1065000
"42",1955,6634,379320,877000
"43",1956,10870,1081339,65000
"44",1957,11265,938750,175000
"45",1958,4519,26112,530100
"46",1959,2013872,1523100,698200
"47",1960,39995,2846070,1264041
"48",1961,17797,1315755,529905
"49",1962,17769,143713,1529000
"50",1963,38469,6190906,1719090
"51",1964,13901,7909071,3120604
"52",1965,1566738,123104464,2539183
"53",1966,17401,12454013,2900262
"54",1967,11152,6713418,1583826
"55",1968,21727,26628902,1022958
"56",1969,11983,12239220,2396803
"57",1970,388758,47201884,3076654
"58",1971,18842,11729833,1688589
"59",1972,22429,219190909,4093313
"60",1973,111524,11900918,2407043
"61",1974,88923,45084155,4065827
"62",1975,36692,51461220,3283823
"63",1976,281524,24592597,14249377
"64",1977,24098,28593639,10204868
"65",1978,40811,55216486,6288183
"66",1979,10510,61760392,4565137
"67",1980,25446,75546769,32877671
"68",1981,122446,33114671,13944434
"69",1982,16007,151224934,11490343
"70",1983,465243,105676466,16765264
"71",1984,22115,64694043,10026057
"72",1985,64818,28137059,17173600
"73",1986,17115,32637457,16944212
"74",1987,33320,374317705,14783632
"75",1988,65371,206750400,27915217
"76",1989,22825,172779340,28723835
"77",1990,61803,84418621,49058837
"78",1991,199063,285844803,39146821
"79",1992,26366,72231772,55316500
"80",1993,31307,171916133,51123893
"81",1994,24889,273959544,71215774
"82",1995,644509,230789768,156231839
"83",1996,40998,220043422,45037143
"84",1997,38116,70530922,40307446
"85",1998,71350,347377911,84290381
"86",1999,85589,282340042,112254166
"87",2000,28069,174283727,46968153
"88",2001,48041,109027769,27089439
"89",2002,33793,659332527,62100559
"90",2003,124308,255757731,69839150
"91",2004,255101,162189731,137686448
"92",2005,105230,160795477,214625533
"93",2006,39893,126502742,34105925
"94",2007,30108,214912592,75289257
"95",2008,249195,222719122,191172247
"96",2009,22903,201822549,48302793
"97",2010,336647,259997579,152547096
"98",2011,40769,212847619,364097869
"99",2012,17684,124945161,156732432
"100",2013,28924,99483684,121210189
"101",2014,27332,141451210,98101314
"102",2015,34836,429806693,83653399
"103",2016,17177,205310481,147282521
"104",2017,16458,95979187,337542768.92
"105",2018,12845,29064741,35976963
