Year,Country,TotalDeaths,TotalAffected,TotalDamage
1914,CAN,1203,0,0
1914,ETH,0,0,0
1914,IDN,20,20,0
1914,JPN,269,0,20000
1914,TKL,0,0,0
1915,BLR,21,0,0
1915,CAN,56,22,0
1915,CHN,0,3.00E+06,0
1915,DEU,19,0,0
1915,GBR,227,246,0
1915,HND,0,0,0
1915,HTI,1600,0,0
1915,ITA,29980,0,60000
1915,USA,1343,0,61000
1916,BGR,20,0,0
1916,CAN,241,8000,2500
1916,CHN,1000,0,0
1916,DEU,27,0,0
1916,GBR,42,0,0
1916,IND,300,0,0
1916,ROU,0,0,0
1916,USA,30,0,0
1917,BEL,20,0,0
1917,CAN,1665,15000,0
1917,CHN,1800,635000,0
1917,DEU,23,0,0
1917,DNK,18,0,0
1917,FRA,561,0,0
1917,GTM,2650,0,0
1917,IDN,15000,0,0
1917,JAM,57,0,0
1917,JPN,4000,0,50000
1917,NLD,45,0,0
1917,SUN,2500000,0,0
1918,BGD,393000,0,0
1918,CAN,50431,2.00E+06,0
1918,CHN,10000,0,0
1918,DEU,22,0,0
1918,NLD,60,40,0
1918,NZL,6700,0,0
1918,PHL,100,0,0
1918,PRI,116,0,0
1918,RUS,47,0,0
1918,USA,1386,0,129000
1919,AIA,0,0,0
1919,BGD,0,0,0
1919,IDN,5000,0,0
1919,USA,500,0,25000
1920,AIA,0,0,0
1920,BEL,12,0,0
1920,CHN,680000,2.00E+07,0
1920,CPV,24000,0,0
1920,DFR,0,0,20000
1920,IND,2500000,0,0
1920,ITA,0,650,0
1920,JPN,40,0,0
1920,USA,224,0,0
1920,ZAF,0,0,0
1921,AIA,0,0,0
1921,BEL,21,0,0
1921,CHN,1000,0,0
1921,DEU,600,1500,0
1921,ETH,0,0,0
1921,GBR,44,0,0
1921,SUN,1200000,5.00E+06,0
1922,AIA,0,0,0
1922,BEL,10,0,0
1922,BGD,0,0,0
1922,CAN,43,11000,8000
1922,CHL,1100,0,0
1922,CHN,100017,0,0
1922,ITA,100,0,0
1922,TUR,200,0,1.00E+05
1922,USA,34,0,0
1923,AIA,0,0,0
1923,BEL,10,0,0
1923,BGD,6,25000,0
1923,CHN,7200,0,0
1923,FRA,600,0,0
1923,HKG,100,0,0
1923,JAM,4,1300,0
1923,JPN,152144,203733,610000
1923,MMR,6,0,0
1923,NER,1.00E+05,0,0
1923,SUN,41,1.80E+07,0
1924,BEL,24,0,0
1924,ECU,40,0,0
1924,IDN,727,11250,0
1924,IND,301242,1.00E+06,0
1924,TWN,1000,0,0
1925,CHN,5000,0,0
1925,DFR,0,0,19000
1925,IND,80,0,0
1925,TKL,0,0,0
1925,USA,766,0,26000
1926,BEL,0,0,0
1926,BGD,0,0,0
1926,BHS,0,0,0
1926,COL,100,0,0
1926,CUB,600,0,0
1926,DFR,0,0,31000
1926,EGY,12,0,0
1926,FRA,28,0,0
1926,IND,423000,0,0
1926,JPN,144,0,0
1926,MMR,2700,40000,0
1926,PAK,0,0,0
1926,ROU,1000,0,0
1926,USA,268,0,73000
1927,BEL,26,0,0
1927,CAN,76,0,0
1927,CHN,205000,0,0
1927,DZA,3000,0,0
1927,ETH,0,0,0
1927,IDN,50,50,0
1927,IND,685,40010,0
1927,JOR,242,0,0
1927,JPN,5850,0,80000
1927,USA,333,0,22230
1928,BEL,0,6000,0
1928,BGR,107,0,0
1928,BRA,24,0,0
1928,CAN,142,0,0
1928,CHL,220,0,0
1928,CHN,3.00E+06,0,0
1928,GLP,2000,0,0
1928,GRC,103,0,0
1928,IDN,128,0,0
1928,IND,36,2000,0
1928,KNA,0,0,0
1928,MSR,0,0,0
1928,POL,82,0,0
1928,PRI,300,0,50000
1928,ROU,6,0,0
1928,TUR,50,209,0
1928,USA,2236,0,25000
1929,BEL,58,96,0
1929,BHS,0,0,0
1929,DFR,0,0,55000
1929,GTM,5000,0,0
1929,IRN,3300,1121,0
1929,MEX,60,0,0
1929,NZL,17,0,0
1929,USA,14,0,0
1930,BEL,85,19,0
1930,CSK,12,0,0
1930,DMA,2000,0,0
1930,DOM,2000,12000,40000
1930,FRA,88,0,0
1930,GRC,22,0,0
1930,IDN,1369,0,0
1930,IRN,2500,0,0
1930,ITA,1883,10000,0
1930,JPN,0,0,0
1930,MMR,536,0,0
1930,NER,0,0,0
1930,PNG,11,0,0
1930,SUN,151,208,0
1930,USA,333,0,0
1931,BEL,17,0,0
1931,BLZ,1500,0,7500
1931,CAN,0,25000,0
1931,CHN,3700000,0,1400000
1931,ECU,190,0,0
1931,FJI,200,0,0
1931,FRA,500,0,0
1931,HND,1500,0,0
1931,IDN,1300,0,0
1931,NIC,1000,0,15000
1931,NZL,256,11000,25000
1931,PHL,0,0,0
1931,SLB,50,0,0
1931,SUN,231,882,0
1932,BEL,17,0,0
1932,CHN,70000,0,0
1932,CUB,2500,0,0
1932,FRA,30,0,0
1932,IDN,6,3075,0
1932,JAM,16,0,0
1932,PHL,147,2500,0
1932,PRI,225,0,30000
1932,SUN,5.00E+06,0,0
1932,USA,372,0,0
1933,BEL,25,0,0
1933,CHN,28000,3600000,0
1933,FRA,230,300,0
1933,GBR,73,0,0
1933,JAM,63,0,0
1933,JPN,6064,0,25000
1933,SUN,15,0,0
1933,TTO,13,0,3000
1933,USA,166,0,38500
1934,AUS,11,0,0
1934,BEL,56,5,0
1934,CHN,500,0,0
1934,DEU,12,0,0
1934,IND,6000,0,0
1934,JPN,4506,0,50000
1934,NPL,9040,0,0
1934,PHL,85,0,0
1934,ROU,0,0,0
1934,SLV,2000,0,0
1934,SUN,456,1189,0
1934,USA,137,0,0
1935,BEL,10,0,0
1935,BHS,14,0,0
1935,CHE,13,0,0
1935,CHN,142000,10030000,0
1935,COL,17,0,0
1935,CUB,35,500,0
1935,DEU,11,0,0
1935,DFR,30,27,0
1935,EGY,12,0,0
1935,GBR,11,0,0
1935,HND,14,0,0
1935,HTI,2150,0,0
1935,IND,60100,0,0
1935,ITA,12,0,0
1935,JAM,0,0,2000
1935,PAK,60000,0,0
1935,SUN,49,0,0
1935,TWN,6110,0,0
1935,UGA,2000,0,0
1935,USA,418,0,6000
1936,BEL,26,30,0
1936,BOL,13,0,0
1936,CAN,522,20,0
1936,DEU,11,0,0
1936,GBR,26,0,0
1936,IDN,26,20,0
1936,IND,438,0,0
1936,KOR,1104,0,0
1936,MEX,14,0,0
1936,MMR,1000,150000,0
1936,NOR,73,0,0
1936,PHL,517,0,0
1936,USA,1904,0,21000
1937,BEL,26,0,0
1937,BGD,0,0,0
1937,CHN,658,0,0
1937,DEU,46,0,0
1937,DZA,12,0,0
1937,HKG,11000,0,0
1937,IND,107,0,0
1937,JAM,151,0,0
1937,PHL,231,0,0
1937,PNG,506,7500,0
1937,USA,180,0,438000
1938,AUS,18,0,0
1938,CAN,40,200,0
1938,CHE,13,0,0
1938,CHN,14,0,0
1938,DEU,16,0,0
1938,DFR,20,0,0
1938,GBR,14,0,0
1938,GMB,11,0,0
1938,IDN,17,4710,0
1938,ITA,54,0,0
1938,JPN,943,0,0
1938,NZL,21,0,0
1938,PHL,320,0,0
1938,ROU,164,0,0
1938,SUN,13,0,0
1938,TUR,149,800,0
1938,USA,841,0,306000
1939,AUS,71,3900,0
1939,BEL,41,110,0
1939,BRA,24,0,0
1939,CHL,30000,58500,920000
1939,CHN,5.00E+05,0,0
1939,FRA,73,0,0
1939,GBR,10,0,0
1939,GHA,17,0,0
1939,ITA,10,0,0
1939,NCL,3,0,0
1939,PAK,0,0,0
1939,SLB,12,0,0
1939,TUR,33065,68,20000
1939,USA,13,0,0
1939,VEN,500,0,0
1940,AUS,10,0,0
1940,BEL,45,79,0
1940,BFA,0,0,0
1940,CPV,20000,0,0
1940,DEU,29,0,0
1940,GMB,0,0,0
1940,GNB,0,0,0
1940,JAM,125,2000,0
1940,MLI,0,0,0
1940,MRT,0,0,0
1940,NER,0,0,0
1940,PER,249,0,0
1940,PHL,73,0,0
1940,ROU,1001,0,10000
1940,SDN,1500,15000,0
1940,SEN,0,0,0
1940,TCD,0,0,0
1940,TUR,37,0,0
1940,USA,311,0,33000
1940,VUT,0,0,0
1941,BEL,37,0,0
1941,BGD,5000,0,0
1941,CAN,32,0,0
1941,FJI,6,0,0
1941,FRA,15,0,0
1941,GBR,54,0,0
1941,HUN,12,0,0
1941,JPN,18,0,0
1941,MEX,174,0,0
1941,MMR,15,0,0
1941,PER,5000,0,0
1941,ROU,15,0,0
1941,USA,134,0,0
1941,ZAF,20,0,0
1942,AUS,27,0,0
1942,BEL,250,1000,0
1942,BGD,61000,0,0
1942,CAN,99,100,0
1942,CHL,5,16,28000
1942,CHN,1592,0,0
1942,COK,0,0,0
1942,DZA,25,0,0
1942,ECU,200,0,0
1942,GBR,14,0,0
1942,IDN,13,0,0
1942,IND,1540000,0,0
1942,PRI,22,0,0
1942,TUR,7000,0,0
1942,USA,592,0,0
1943,BGD,1900000,0,0
1943,BRA,37,0,0
1943,CAN,55,2,0
1943,CHL,12,35,1.00E+05
1943,COK,0,0,0
1943,FRA,17,0,0
1943,IDN,213,16096,0
1943,IND,5020,30000,0
1943,IRL,10,0,0
1943,JPN,2073,0,0
1943,MEX,0,3000,0
1943,PER,214,0,0
1943,PRT,37,0,0
1943,ROU,10,0,0
1943,SDN,33,0,0
1943,SWE,13,0,0
1943,TUR,2824,5000,0
1943,USA,176,0,9.00E+05
1944,ARG,10000,155000,0
1944,AUS,49,2100,0
1944,BRA,43,0,0
1944,CUB,17,0,0
1944,ESP,500,0,0
1944,FRA,22,0,0
1944,GBR,91,0,0
1944,GRC,16,0,0
1944,IND,318,0,0
1944,ITA,547,14000,0
1944,JAM,32,2000,0
1944,JPN,998,0,0
1944,LBY,0,0,0
1944,NOR,15,0,0
1944,PAK,0,10000,0
1944,SWE,10,0,0
1944,TUR,3986,0,0
1944,USA,750,0,1.00E+05
1945,BEL,0,104,0
1945,BHS,22,0,0
1945,DFR,102,0,0
1945,IND,0,2000,0
1945,JPN,6158,1881672,480000
1945,PAK,4000,0,0
1945,ROU,0,0,0
1945,USA,196,0,0
1946,AZO,27,0,0
1946,BEL,16,0,0
1946,CAN,63,18,500
1946,CHL,0,0,0
1946,COK,0,0,0
1946,CPV,30000,0,0
1946,DEU,439,0,0
1946,DOM,73,0,0
1946,DZA,276,0,0
1946,GBR,33,300,0
1946,IND,400,0,0
1946,JPN,2000,0,0
1946,PER,1400,0,0
1946,PHL,260,0,0
1946,TON,0,2500,0
1946,TUR,839,0,0
1946,USA,456,536,25000
1947,BEL,17,40,0
1947,BGD,500,0,0
1947,CAN,31,0,0
1947,EGY,10276,0,0
1947,ESP,147,0,0
1947,GBR,32,183,0
1947,HKG,2000,0,0
1947,IND,625,0,0
1947,IRN,400,0,0
1947,JPN,3930,0,0
1947,PER,233,0,0
1947,USA,869,0,130000
1948,BMU,0,0,0
1948,BRA,200,0,0
1948,CHL,100,0,0
1948,CHN,3230,0,0
1948,COD,31,1,0
1948,COG,13,0,0
1948,CUB,14,300,18000
1948,DFR,200,0,6000
1948,GBR,19,3,0
1948,HKG,135,0,0
1948,IND,500,0,0
1948,IRN,200,6000,0
1948,ITA,105,0,0
1948,JPN,5999,414153,1.00E+06
1948,NCL,2,0,0
1948,PHL,27,0,0
1948,REU,165,0,0
1948,SUN,110000,0,25000
1948,TUR,592,0,0
1948,USA,97,0,0
1949,ARG,0,5000,0
1949,BRA,100,0,0
1949,CAN,150,0,0
1949,CHL,41,173,44200
1949,CHN,58700,0,0
1949,COL,1000,0,0
1949,ECU,6000,1.00E+05,20000
1949,FRA,80,0,0
1949,GTM,40000,0,15000
1949,IND,1000,0,0
1949,JPN,617,194046,0
1949,MEX,1000,0,0
1949,PHL,1000,0,0
1949,POL,200,0,0
1949,SUN,12000,0,0
1949,TUR,437,355,0
1949,USA,95,0,80000
1950,ATG,2,0,1000
1950,BEL,38,2,0
1950,CAN,22,107053,1.00E+05
1950,CHN,500,1.00E+07,0
1950,COL,150,40000,0
1950,DDR,150,0,0
1950,ECU,50,0,0
1950,IND,1735,25000,0
1950,IRN,52,0,0
1950,JPN,1075,643161,0
1950,PAK,2900,0,0
1950,PER,213,200,0
1950,PHL,84,0,0
1950,SDN,0,72162,0
1950,USA,415,352,1.00E+05
1950,VEN,100,0,0
1951,BGD,200,0,0
1951,CHE,92,0,20000
1951,CHN,4800,0,0
