,Series Code,Country Name,Country Code,Year,GDP
1,NY.GDP.MKTP.CD,Afghanistan,AFG,1960,537777811.1
2,NY.GDP.MKTP.CD,Albania,ALB,1960,NA
3,NY.GDP.MKTP.CD,Algeria,DZA,1960,2723648552
4,NY.GDP.MKTP.CD,Andorra,AND,1960,NA
5,NY.GDP.MKTP.CD,Angola,AGO,1960,NA
6,NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1960,NA
7,NY.GDP.MKTP.CD,Argentina,ARG,1960,NA
8,NY.GDP.MKTP.CD,Armenia,ARM,1960,NA
9,NY.GDP.MKTP.CD,Australia,AUS,1960,18573188487
10,NY.GDP.MKTP.CD,Austria,AUT,1960,6592693841
11,NY.GDP.MKTP.CD,Azerbaijan,AZE,1960,NA
12,NY.GDP.MKTP.CD,"Bahamas, The",BHS,1960,169803921.6
13,NY.GDP.MKTP.CD,Bahrain,BHR,1960,NA
14,NY.GDP.MKTP.CD,Bangladesh,BGD,1960,4274893913
15,NY.GDP.MKTP.CD,Barbados,BRB,1960,NA
16,NY.GDP.MKTP.CD,Belarus,BLR,1960,NA
17,NY.GDP.MKTP.CD,Belgium,BEL,1960,11658722591
18,NY.GDP.MKTP.CD,Belize,BLZ,1960,28071888.56
19,NY.GDP.MKTP.CD,Benin,BEN,1960,226195579.4
20,NY.GDP.MKTP.CD,Bermuda,BMU,1960,84466654.08
21,NY.GDP.MKTP.CD,Bhutan,BTN,1960,NA
22,NY.GDP.MKTP.CD,Bolivia,BOL,1960,563110051.9
23,NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,1960,NA
24,NY.GDP.MKTP.CD,Botswana,BWA,1960,30412308.99
25,NY.GDP.MKTP.CD,Brazil,BRA,1960,15165569913
26,NY.GDP.MKTP.CD,British Virgin Islands,VGB,1960,NA
27,NY.GDP.MKTP.CD,Brunei Darussalam,BRN,1960,NA
28,NY.GDP.MKTP.CD,Bulgaria,BGR,1960,NA
29,NY.GDP.MKTP.CD,Burkina Faso,BFA,1960,330442817.2
30,NY.GDP.MKTP.CD,Burundi,BDI,1960,195999990
31,NY.GDP.MKTP.CD,Cabo Verde,CPV,1960,NA
32,NY.GDP.MKTP.CD,Cambodia,KHM,1960,637142865.7
33,NY.GDP.MKTP.CD,Cameroon,CMR,1960,618740988
34,NY.GDP.MKTP.CD,Canada,CAN,1960,41093453545
35,NY.GDP.MKTP.CD,Chad,TCD,1960,313582727.6
36,NY.GDP.MKTP.CD,Chile,CHL,1960,4.11E+09
37,NY.GDP.MKTP.CD,China,CHN,1960,59716467625
38,NY.GDP.MKTP.CD,Colombia,COL,1960,4040948154
39,NY.GDP.MKTP.CD,Comoros,COM,1960,NA
40,NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,1960,3359404118
41,NY.GDP.MKTP.CD,"Congo, Rep.",COG,1960,131731862.6
42,NY.GDP.MKTP.CD,Costa Rica,CRI,1960,507513830
43,NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,1960,546203561.6
44,NY.GDP.MKTP.CD,Croatia,HRV,1960,NA
45,NY.GDP.MKTP.CD,Cuba,CUB,1960,NA
46,NY.GDP.MKTP.CD,Curacao,CUW,1960,NA
47,NY.GDP.MKTP.CD,Cyprus,CYP,1960,NA
48,NY.GDP.MKTP.CD,Czech Republic,CZE,1960,NA
49,NY.GDP.MKTP.CD,Denmark,DNK,1960,6248946880
50,NY.GDP.MKTP.CD,Djibouti,DJI,1960,NA
51,NY.GDP.MKTP.CD,Dominica,DMA,1960,NA
52,NY.GDP.MKTP.CD,Dominican Republic,DOM,1960,672399700
53,NY.GDP.MKTP.CD,Ecuador,ECU,1960,1010325138
54,NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,1960,NA
