Year,Country,CountryName,Population,AverageTemperature,MinTemperature,MaxTemperature,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,Meantemperature,AN_Temp,MeanGDP,AN_GDP,MeanCO2,AN_CO2,MeanPop,AN_POP
1960,AUS,Australia,10276477,21.2105,20.9885,21.4325,18573188487,88.1189,0,0,0,22.01454717,0.80404717,3.26E+11,3.07E+11,252.3304792,164.2115792,16163360.87,5886883.868
1960,BGD,Bangladesh,48199747,25.48425,25.21191667,25.75658333,4274893913,2.2119,18149,0,0,25.28250472,-0.201745283,35173952142,30899058229,18.18194528,15.97004528,98939874.21,50740127.21
1960,BRA,Brazil,72207554,24.75266667,24.402,25.10333333,15165569913,46.8518,0,0,0,25.22883491,0.476168239,5.22E+11,5.06E+11,210.8392,163.9874,137590674.3,65383120.28
1960,CAN,Canada,17909009,-4.406833333,-4.664583333,-4.149083333,41093453545,192.7162,0,0,0,-4.422849057,-0.016015723,5.36E+11,4.95E+11,434.3247113,241.6085113,26407064.92,8498055.925
1960,CHN,China,667070000,6.890916667,6.66,7.121833333,59716467625,778.9795,0,0,0,7.139169811,0.248253145,1.13E+12,1.07E+12,2772.717077,1993.737577,1049505755,382435754.7
1960,ESP,Spain,30455000,13.7815,13.49,14.073,12072126075,48.8656,0,0,0,14.11321384,0.331713836,4.70E+11,4.58E+11,212.3998415,163.5342415,38244689.89,7789689.887
1960,FRA,France,46814237,13.02766667,12.71358333,13.34175,62651474947,271.3608,0,0,0,13.32412736,0.296460692,1.04E+12,9.77E+11,413.2225113,141.8617113,56972193.17,10157956.17
1960,GBR,United Kingdom,52400000,8.91975,8.65175,9.18775,72328047042,584.02,0,0,0,8.956007862,0.036257862,1.01E+12,9.37E+11,581.3134792,-2.706520755,57367943.06,4967943.057
1960,IND,India,449480608,24.28716667,24.03033333,24.544,36535925031,120.576,237,160000,0,24.35244969,0.065283019,3.92E+11,3.56E+11,646.297066,525.721066,819442916.4,369962308.4
1960,ITA,Italy,50199700,13.07283333,12.79816667,13.3475,40385288344,109.2031,12,0,0,13.25787264,0.185039308,8.47E+11,8.06E+11,368.5825604,259.3794604,55873572.26,5673872.264
