Country,Year,Population
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,2.868319392
ABW,1987,7.235198033
ABW,1988,10.02617921
ABW,1989,10.6347326
ABW,1990,26.37450321
ABW,1991,26.0461298
ABW,1992,21.4425588
ABW,1993,22.00078616
ABW,1994,21.03624511
ABW,1995,20.77193616
ABW,1996,20.31835337
ABW,1997,20.42681771
ABW,1998,20.58766915
ABW,1999,20.31156677
ABW,2000,26.19487524
ABW,2001,25.93402441
ABW,2002,25.67116178
ABW,2003,26.42045209
ABW,2004,26.51729342
ABW,2005,27.20070778
ABW,2006,26.94826047
ABW,2007,27.895574
ABW,2008,26.23084664
ABW,2009,25.91583295
ABW,2010,24.67052887
ABW,2011,24.5058352
ABW,2012,13.15554169
ABW,2013,8.351294252
ABW,2014,8.408362638
ABW,2015,
ABW,2016,
ABW,2017,
AFG,1960,0.046059897
AFG,1961,0.053604304
AFG,1962,0.073764791
AFG,1963,0.074232685
AFG,1964,0.086292452
AFG,1965,0.101467397
AFG,1966,0.107636955
AFG,1967,0.123734289
AFG,1968,0.11549774
AFG,1969,0.08682346
AFG,1970,0.150290627
AFG,1971,0.166042044
AFG,1972,0.13076385
AFG,1973,0.136279785
AFG,1974,0.155649444
AFG,1975,0.168928649
AFG,1976,0.154787206
AFG,1977,0.182963616
AFG,1978,0.163159571
AFG,1979,0.168376671
AFG,1980,0.132858608
AFG,1981,0.151972881
AFG,1982,0.164803883
AFG,1983,0.203635582
AFG,1984,0.234987713
AFG,1985,0.297827727
AFG,1986,0.270891121
AFG,1987,0.271611659
AFG,1988,0.248472561
AFG,1989,0.235694613
AFG,1990,0.213449805
AFG,1991,0.187672724
AFG,1992,0.099666474
AFG,1993,0.089154036
AFG,1994,0.08003917
AFG,1995,0.072698618
AFG,1996,0.066044698
AFG,1997,0.059648382
AFG,1998,0.05520717
AFG,1999,0.042332597
AFG,2000,0.03850634
AFG,2001,0.039002334
AFG,2002,0.048715548
AFG,2003,0.0518296
AFG,2004,0.039377828
AFG,2005,0.052948215
AFG,2006,0.063728472
AFG,2007,0.085417506
AFG,2008,0.154101422
AFG,2009,0.241722682
AFG,2010,0.293836994
AFG,2011,0.412016938
AFG,2012,0.350370581
AFG,2013,0.315601773
AFG,2014,0.299444991
AFG,2015,
AFG,2016,
AFG,2017,
AGO,1960,0.097471604
AGO,1961,0.079038085
AGO,1962,0.201289076
AGO,1963,0.192534735
AGO,1964,0.201003361
AGO,1965,0.191528411
AGO,1966,0.246412785
AGO,1967,0.154911578
AGO,1968,0.256315998
AGO,1969,0.419550564
AGO,1970,0.528697988
AGO,1971,0.492302233
AGO,1972,0.635214721
AGO,1973,0.670624323
AGO,1974,0.652023363
AGO,1975,0.574693143
AGO,1976,0.415850303
AGO,1977,0.434755038
AGO,1978,0.646179204
AGO,1979,0.636944237
AGO,1980,0.598717343
AGO,1981,0.571201904
AGO,1982,0.485251545
AGO,1983,0.515071547
AGO,1984,0.487395694
AGO,1985,0.443121443
AGO,1986,0.426768722
AGO,1987,0.5184278
AGO,1988,0.445557344
AGO,1989,0.423524277
AGO,1990,0.420284254
AGO,1991,0.405450105
AGO,1992,0.400678653
AGO,1993,0.430889258
AGO,1994,0.281092579
AGO,1995,0.769173426
AGO,1996,0.712306341
AGO,1997,0.489209377
AGO,1998,0.47137391
AGO,1999,0.574083595
AGO,2000,0.580352661
AGO,2001,0.573047493
AGO,2002,0.720768849
AGO,2003,0.497975073
AGO,2004,0.996165478
AGO,2005,0.979740026
AGO,2006,1.098883898
AGO,2007,1.197843982
AGO,2008,1.181526759
AGO,2009,1.232494515
AGO,2010,1.243405585
AGO,2011,1.252789255
AGO,2012,1.330843018
AGO,2013,1.254617218
AGO,2014,1.291328315
AGO,2015,
AGO,2016,
AGO,2017,
ALB,1960,1.258194928
ALB,1961,1.374186047
ALB,1962,1.439955964
ALB,1963,1.181681144
ALB,1964,1.11174196
ALB,1965,1.166099043
ALB,1966,1.333055465
ALB,1967,1.3637463
ALB,1968,1.519551277
ALB,1969,1.558967572
ALB,1970,1.753239905
ALB,1971,1.989497923
ALB,1972,2.515914398
ALB,1973,2.303897417
ALB,1974,1.849006691
ALB,1975,1.910633637
ALB,1976,2.013584562
ALB,1977,2.275876391
ALB,1978,2.53062504
ALB,1979,2.898208518
ALB,1980,1.93505831
ALB,1981,2.693023914
ALB,1982,2.624856785
ALB,1983,2.683239919
ALB,1984,2.694291374
ALB,1985,2.658015382
ALB,1986,2.665356221
ALB,1987,2.414060815
ALB,1988,2.331598531
ALB,1989,2.783243075
ALB,1990,1.678106654
ALB,1991,1.3122126
ALB,1992,0.774724911
ALB,1993,0.723790292
ALB,1994,0.600203708
ALB,1995,0.654537133
ALB,1996,0.636625313
ALB,1997,0.49036506
ALB,1998,0.560271437
ALB,1999,0.960164412
ALB,2000,0.978174681
ALB,2001,1.053304176
ALB,2002,1.229540709
ALB,2003,1.412697196
ALB,2004,1.376212735
