"","Country","variable","value"
"1","ABW","1960",54211
"2","AFG","1960",8996351
"3","AGO","1960",5643182
"4","ALB","1960",1608800
"5","AND","1960",13411
"6","ARB","1960",92490932
"7","ARE","1960",92634
"8","ARG","1960",20619075
"9","ARM","1960",1874120
"10","ASM","1960",20013
"11","ATG","1960",55339
"12","AUS","1960",10276477
"13","AUT","1960",7047539
"14","AZE","1960",3895396
"15","BDI","1960",2786106
"16","BEL","1960",9153489
"17","BEN","1960",2431622
"18","BFA","1960",4829288
"19","BGD","1960",48199747
"20","BGR","1960",7867374
"21","BHR","1960",162427
"22","BHS","1960",109528
"23","BIH","1960",3225668
"24","BLR","1960",8198000
"25","BLZ","1960",92064
"26","BMU","1960",44400
"27","BOL","1960",3693449
"28","BRA","1960",72207554
"29","BRB","1960",230939
"30","BRN","1960",81745
"31","BTN","1960",223288
"32","BWA","1960",524552
"33","CAF","1960",1503508
"34","CAN","1960",17909009
"35","CEB","1960",91401583
"36","CHE","1960",5327827
"37","CHI","1960",109420
"38","CHL","1960",7716625
"39","CHN","1960",667070000
"40","CIV","1960",3558988
"41","CMR","1960",5176268
"42","COD","1960",15248251
"43","COG","1960",1037220
"44","COL","1960",16480383
"45","COM","1960",191121
"46","CPV","1960",202310
"47","CRI","1960",1333040
"48","CSS","1960",4198307
"49","CUB","1960",7141135
"50","CUW","1960",124826
"51","CYM","1960",7865
"52","CYP","1960",572930
"53","CZE","1960",9602006
"54","DEU","1960",72814900
"55","DJI","1960",83636
"56","DMA","1960",60011
"57","DNK","1960",4579603
"58","DOM","1960",3294042
"59","DZA","1960",11124888
"60","EAP","1960",893956327
"61","EAR","1960",979287407
"62","EAS","1960",1039944591
"63","ECA","1960",274947938
"64","ECS","1960",667246384
"65","ECU","1960",4545550
"66","EGY","1960",26996533
"67","EMU","1960",265396502
"68","ERI","1960",1397491
"69","ESP","1960",30455000
"70","EST","1960",1211537
"71","ETH","1960",22151278
"72","EUU","1960",409498463
"73","FCS","1960",119967877
"74","FIN","1960",4429634
"75","FJI","1960",393386
"76","FRA","1960",46814237
"77","FRO","1960",34661
"78","FSM","1960",44537
"79","GAB","1960",499184
"80","GBR","1960",52400000
"81","GEO","1960",3645600
"82","GHA","1960",6652287
"83","GIB","1960",23394
"84","GIN","1960",3577409
"85","GMB","1960",367928
"86","GNB","1960",616409
"87","GNQ","1960",255323
"88","GRC","1960",8331725
"89","GRD","1960",89869
"90","GRL","1960",32500
"91","GTM","1960",4210747
"92","GUM","1960",66742
"93","GUY","1960",571819
"94","HIC","1960",780501923
"95","HKG","1960",3075605
"96","HND","1960",2038637
"97","HPC","1960",162495580
"98","HRV","1960",4140000
"99","HTI","1960",3866159
"100","HUN","1960",9983967
"101","IBD","1960",1917374485
"102","IBT","1960",2299864225
"103","IDA","1960",382489740
"104","IDB","1960",123195063
"105","IDN","1960",87792515
"106","IDX","1960",259294677
"107","IMN","1960",48442
"108","IND","1960",449480608
"109","INX","1960",NA
"110","IRL","1960",2828600
"111","IRN","1960",21906903
"112","IRQ","1960",7289761
"113","ISL","1960",175574
"114","ISR","1960",2114020
"115","ITA","1960",50199700
"116","JAM","1960",1628252
"117","JOR","1960",932257
"118","JPN","1960",92500572
"119","KAZ","1960",9714260
"120","KEN","1960",8105440
"121","KGZ","1960",2172300
"122","KHM","1960",5722370
"123","KIR","1960",41233
"124","KNA","1960",51195
"125","KOR","1960",25012374
"126","KWT","1960",269618
"127","LAC","1960",184536470
"128","LAO","1960",2120896
"129","LBN","1960",1804926
"130","LBR","1960",1120313
"131","LBY","1960",1448417
"132","LCA","1960",89897
"133","LCN","1960",220434662
"134","LDC","1960",240742196
"135","LIC","1960",166502848
"136","LIE","1960",16495
"137","LKA","1960",9874481
"138","LMC","1960",934586665
"139","LMY","1960",2251658472
"140","LSO","1960",851591
"141","LTE","1960",1097220852
"142","LTU","1960",2778550
"143","LUX","1960",313970
"144","LVA","1960",2120979
"145","MAC","1960",167796
"146","MAF","1960",4279
"147","MAR","1960",12328532
"148","MCO","1960",22452
"149","MDA","1960",2544000
"150","MDG","1960",5099373
"151","MDV","1960",89887
"152","MEA","1960",105488678
"153","MEX","1960",38174112
"154","MHL","1960",14662
"155","MIC","1960",2085155624
"156","MKD","1960",1488667
"157","MLI","1960",5263733
"158","MLT","1960",326550
"159","MMR","1960",20986123
"160","MNA","1960",97837766
"161","MNE","1960",480579
"162","MNG","1960",955505
"163","MNP","1960",10035
"164","MOZ","1960",7388695
"165","MRT","1960",858168
"166","MUS","1960",659351
"167","MWI","1960",3618595
"168","MYS","1960",8157106
"169","NAC","1960",198624409
"170","NAM","1960",602544
"171","NCL","1960",79000
"172","NER","1960",3388764
"173","NGA","1960",45137812
"174","NIC","1960",1774699
"175","NLD","1960",11486631
"176","NOR","1960",3581239
"177","NPL","1960",10063011
"178","NRU","1960",4433
"179","NZL","1960",2371800
"180","OED","1960",791487664
"181","OMN","1960",551740
"182","OSS","1960",9196324
"183","PAK","1960",44908293
"184","PAN","1960",1132921
"185","PER","1960",10061515
"186","PHL","1960",26273025
"187","PLW","1960",9642
"188","PNG","1960",2010677
"189","POL","1960",29637450
"190","PRE","1960",188636191
"191","PRI","1960",2358000
"192","PRK","1960",11424176
"193","PRT","1960",8857716
"194","PRY","1960",1902875
"195","PSE","1960",NA
"196","PSS","1960",865809
"197","PST","1960",754705296
"198","PYF","1960",78076
"199","QAT","1960",47384
"200","ROU","1960",18406905
"201","RUS","1960",119897000
"202","RWA","1960",2933428
"203","SAS","1960",571835666
"204","SAU","1960",4086539
"205","SDN","1960",7544491
"206","SEN","1960",3206749
"207","SGP","1960",1646400
"208","SLB","1960",117866
"209","SLE","1960",2297110
"210","SLV","1960",2762899
"211","SMR","1960",15397
"212","SOM","1960",2755947
"213","SRB","1960",NA
"214","SSA","1960",228544305
"215","SSD","1960",2955152
"216","SSF","1960",228586005
"217","SST","1960",14260440
"218","STP","1960",64253
"219","SUR","1960",289966
"220","SVK","1960",4068095
"221","SVN","1960",1584720
"222","SWE","1960",7484656
"223","SWZ","1960",349174
"224","SXM","1960",NA
"225","SYC","1960",41700
"226","SYR","1960",4573512
"227","TCA","1960",5726
"228","TCD","1960",3001593
"229","TEA","1960",882521780
"230","TEC","1960",308725388
"231","TGO","1960",1580513
"232","THA","1960",27397175
"233","TJK","1960",2087038
"234","TKM","1960",1603258
"235","TLA","1960",210357620
"236","TLS","1960",499950
"237","TMN","1960",97837766
"238","TON","1960",61601
"239","TSA","1960",571835666
"240","TSS","1960",228586005
"241","TTO","1960",848479
"242","TUN","1960",4176266
"243","TUR","1960",27472331
"244","TUV","1960",6104
"245","TZA","1960",10074507
"246","UGA","1960",6788214
"247","UKR","1960",42662149
"248","UMC","1960",1150568959
"249","URY","1960",2538651
"250","USA","1960",180671000
"251","UZB","1960",8549493
"252","VCT","1960",80949
"253","VEN","1960",8146847
"254","VGB","1960",8033
"255","VIR","1960",32500
"256","VNM","1960",32670629
"257","VUT","1960",63699
"258","WLD","1960",3032160395
"259","WSM","1960",108646
"260","XKX","1960",947000
"261","YEM","1960",5172135
"262","ZAF","1960",17456855
"263","ZMB","1960",3044846
"264","ZWE","1960",3747369
"265","ABW","1961",55438
"266","AFG","1961",9166764
"267","AGO","1961",5753024
"268","ALB","1961",1659800
"269","AND","1961",14375
"270","ARB","1961",95044497
"271","ARE","1961",101078
"272","ARG","1961",20953077
"273","ARM","1961",1941491
"274","ASM","1961",20486
"275","ATG","1961",56144
"276","AUS","1961",10483000
"277","AUT","1961",7086299
"278","AZE","1961",4030320
"279","BDI","1961",2839666
"280","BEL","1961",9183948
"281","BEN","1961",2465867
"282","BFA","1961",4894580
"283","BGD","1961",49592802
"284","BGR","1961",7943118
"285","BHR","1961",167894
"286","BHS","1961",115108
"287","BIH","1961",3288602
"288","BLR","1961",8271216
"289","BLZ","1961",94703
"290","BMU","1961",45500
"291","BOL","1961",3764813
"292","BRA","1961",74351763
"293","BRB","1961",231678
"294","BRN","1961",85596
"295","BTN","1961",228918
"296","BWA","1961",537249
"297","CAF","1961",1529227
"298","CAN","1961",18271000
"299","CEB","1961",92237118
"300","CHE","1961",5434294
"301","CHI","1961",110399
"302","CHL","1961",7890156
"303","CHN","1961",660330000
"304","CIV","1961",3694205
"305","CMR","1961",5285231
"306","COD","1961",15637733
"307","COG","1961",1064111
"308","COL","1961",16982315
"309","COM","1961",194139
"310","CPV","1961",205956
"311","CRI","1961",1381917
"312","CSS","1961",4277802
"313","CUB","1961",7289826
"314","CUW","1961",126125
"315","CYM","1961",8026
"316","CYP","1961",576395
"317","CZE","1961",9586651
"318","DEU","1961",73377632
"319","DJI","1961",88498
"320","DMA","1961",61032
"321","DNK","1961",4611687
"322","DOM","1961",3406299
"323","DZA","1961",11404859
"324","EAP","1961",893537036
"325","EAR","1961",1002523576
"326","EAS","1961",1043546747
"327","ECA","1961",279245314
"328","ECS","1961",674972972
"329","ECU","1961",4676859
"330","EGY","1961",27744712
"331","EMU","1961",267825309
"332","ERI","1961",1432640
